Timestamp,SensorValue,AIScore,Action
1785167276,18.2278,0.727543,FLOWING
1785167277,18.2008,0.727535,FLOWING
1785167277,18.2194,0.727515,FLOWING
1785167278,18.2355,0.727525,FLOWING
1785167278,18.1989,0.727496,FLOWING
1785167279,18.1574,0.727401,FLOWING
1785167280,18.1813,0.727453,FLOWING
1785167280,18.1711,0.727402,FLOWING
1785167281,18.1562,0.727364,FLOWING
1785167281,18.1363,0.727306,FLOWING
1785167282,18.1546,0.727356,FLOWING
1785167283,18.1296,0.727264,FLOWING
1785167283,18.2193,0.727447,FLOWING
1785167284,18.1676,0.727351,FLOWING
1785167284,18.2177,0.727435,FLOWING
1785167285,18.1271,0.727244,FLOWING
1785167286,18.2006,0.727426,FLOWING
1785167352,18.1857,0.727376,FLOWING
1785167287,18.1548,0.727307,FLOWING
1785167287,18.1915,0.727388,FLOWING
1785167288,18.1622,0.727307,FLOWING
1785167289,18.1869,0.727366,FLOWING
1785167289,18.1312,0.727199,FLOWING
1785167290,18.1663,0.727287,FLOWING
1785167290,18.1721,0.727304,FLOWING
1785167291,18.1134,0.727143,FLOWING
1785167292,18.1938,0.727346,FLOWING
1785167292,18.1229,0.727134,FLOWING
1785167293,18.114,0.727107,FLOWING
1785167293,18.1574,0.727229,FLOWING
1785167294,18.1792,0.727276,FLOWING
1785167295,18.1292,0.727134,FLOWING
1785167295,18.096,0.727036,FLOWING
1785167296,18.138,0.727146,FLOWING
1785167296,18.1806,0.727251,FLOWING
1785167297,18.1012,0.727028,FLOWING
1785167298,18.1427,0.727149,FLOWING
1785167298,18.169,0.727202,FLOWING
1785167299,18.1394,0.727114,FLOWING
1785167299,18.1376,0.727092,FLOWING
1785167300,18.0924,0.726976,FLOWING
1785167301,18.1294,0.727073,FLOWING
1785167301,18.1009,0.726986,FLOWING
1785167302,18.1362,0.72707,FLOWING
1785167302,18.1613,0.72713,FLOWING
1785167303,18.1475,0.727076,FLOWING
1785167304,18.0692,0.726885,FLOWING
1785167304,18.1064,0.726964,FLOWING
1785167305,18.1372,0.727044,FLOWING
1785167305,18.1412,0.72704,FLOWING
1785167306,18.0743,0.726867,FLOWING
1785167372,18.0586,0.726824,FLOWING
1785167373,18.1172,0.726961,FLOWING
1785167373,18.0955,0.726882,FLOWING
1785167308,18.1134,0.726925,FLOWING
1785167308,18.1228,0.726956,FLOWING
1785167309,18.0469,0.726755,FLOWING
1785167310,18.0643,0.726793,FLOWING
1785167310,18.0854,0.726822,FLOWING
1785167377,18.0537,0.726746,FLOWING
1785167312,18.1352,0.726947,FLOWING
1785167312,18.0577,0.726745,FLOWING
1785167313,18.1016,0.726838,FLOWING
1785167314,18.0408,0.726667,FLOWING
1785167314,18.0858,0.726791,FLOWING
1785167315,18.1178,0.726879,FLOWING
1785167315,18.1198,0.726856,FLOWING
1785167382,18.0364,0.726629,FLOWING
1785167382,18.0989,0.726792,FLOWING
1785167317,18.0968,0.726799,FLOWING
1785167318,18.0298,0.7266,FLOWING
1785167318,18.1065,0.726788,FLOWING
1785167319,18.046,0.726621,FLOWING
1785167319,18.1122,0.726802,FLOWING
1785167320,18.0568,0.72665,FLOWING
1785167321,18.0181,0.726538,FLOWING
1785167387,18.0476,0.726601,FLOWING
1785167322,18.0418,0.726581,FLOWING
1785167323,18.0689,0.726656,FLOWING
1785167323,18.1042,0.726741,FLOWING
1785167324,18.0637,0.726625,FLOWING
1785167324,18.0296,0.726525,FLOWING
1785167325,18.0497,0.726571,FLOWING
1785167326,18.014,0.726464,FLOWING
1785167326,18.0915,0.726682,FLOWING
1785167327,18.0728,0.7266,FLOWING
1785167328,17.9942,0.726404,FLOWING
1785167328,18.0591,0.726548,FLOWING
1785167329,18.0013,0.726411,FLOWING
1785167329,18.073,0.726598,FLOWING
